Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
BASE,-0.00487361644963443,0.00202576490845328,0.0533472117698908,0,0,0,0.440289695299581,0.000347981417193963,5.31146472663289E-06,-4.08105216846695E-05,0.00061617049726866,-2.39642944264747E-05,0.000465938077374864,0,0,0,0,0,0,package://rapidhand2/meshes/BASE.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rapidhand2/meshes/BASE.STL,,手掌底座-3,BASE,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
TMCPF,5.43874579400638E-09,0.000173367279422285,0.0134848473102515,0,0,0,0.00867255670420181,7.67041806414348E-07,-1.82709963476403E-13,5.14245370735381E-14,1.24661758171433E-06,8.61105358367295E-10,8.26590920303468E-07,0,0,0,0,0,0,package://rapidhand2/meshes/TMCPF.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rapidhand2/meshes/TMCPF.STL,,掌骨构件A-1,TMCPF,TF,TF,revolute,0.036,-0.004,0.043,0,1.5708,0,BASE,-1,0,0,1,1,-3.14,3.14,,,,,,,,
TMCPS,0.00113278662589469,-1.13908234303239E-08,-0.00229033918513943,0,0,0,0.00961656020732061,7.2565135717272E-07,-2.31609281014523E-13,-2.38773099457585E-08,5.55204118086207E-07,8.34739429589534E-14,4.99903953739093E-07,0,0,0,0,0,0,package://rapidhand2/meshes/TMCPS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rapidhand2/meshes/TMCPS.STL,,掌骨构件B-1,TMCPS,TS,TS,revolute,0,0,0.0309,0,0,0,TMCPF,0,-1,0,1,1,-3.14,3.14,,,,,,,,
TPIP,0.00115636106302726,0.0001035074072121,0.0147895764840127,0,0,0,0.0218638036213291,2.50540307346291E-06,1.98429515838161E-09,-7.73824368459479E-08,2.17139629099095E-06,9.2599657965607E-09,1.01723034142232E-06,0,0,0,0,0,0,package://rapidhand2/meshes/TPIP.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rapidhand2/meshes/TPIP.STL,,拇指近节-1,TPIP,TP,TP,revolute,0,0,0.0185,0,0,0,TMCPS,-1,0,0,1,1,-3.14,3.14,,,,,,,,
TDIP,0.000385304884610346,-0.000805905719972057,0.0184635035729084,0,0,0,0.025657649089922,2.73446903195404E-06,1.7863106894769E-09,-8.64810580004142E-09,2.44743923159286E-06,8.3296520156693E-08,1.00880126944463E-06,0,0,0,0,0,0,package://rapidhand2/meshes/TDIP.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rapidhand2/meshes/TDIP.STL,,拇指远节-1,TDIP,TD,TD,revolute,0,0,0.0465,0,0,0,TPIP,-1,0,0,1,1,-3.14,3.14,,,,,,,,
IMCPF,-1.23449232967976E-07,-1.55233664823548E-07,1.03178869920173E-07,0,0,0,0.00105509319213642,3.18851603791441E-08,-3.32607689523367E-15,-5.1173639263051E-14,6.81180906084367E-08,1.03660834170811E-13,9.44143585547911E-08,0,0,0,0,0,0,package://rapidhand2/meshes/IMCPF.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rapidhand2/meshes/IMCPF.STL,,十字轴-1,IMCPF,IF,IF,revolute,0.054,-0.004,0.13,0,0,0,BASE,-1,0,0,1,1,-3.14,3.14,,,,,,,,
IMCPS,0.00051151655399137,0.00128219675748885,0.0360582073884051,0,0,0,0.0255680145005863,2.87973996438069E-06,4.2972188524556E-09,-5.58008522219328E-09,3.06430577453356E-06,1.74224474142161E-08,1.39436516106889E-06,0,0,0,0,0,0,package://rapidhand2/meshes/IMCPS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rapidhand2/meshes/IMCPS.STL,,食指近节-1,IMCPS,IS,IS,revolute,0,0,0,0,0,0,IMCPF,0,1,0,1,1,-3.14,3.14,,,,,,,,
IPIP,0.00115558034102659,0.000110062274357295,0.0317104165010226,0,0,0,0.0218638098074725,2.50540377307788E-06,1.8163924082073E-09,7.73826438143791E-08,2.17139668013854E-06,-6.50298139378206E-09,1.0172309313264E-06,0,0,0,0,0,0,package://rapidhand2/meshes/IPIP.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rapidhand2/meshes/IPIP.STL,,食指中节-1,IPIP,IP,IP,revolute,0,0,0.052,0,0,0,IMCPS,-1,0,0,1,1,-3.14,3.14,,,,,,,,
IDIP,0.000735870667299736,-0.00251219154785661,0.021014755592917,0,0,0,0.0103515223793345,1.17694075878933E-06,1.0899242697752E-10,7.47171593967575E-08,1.16405050403568E-06,1.10650844003481E-07,4.02880137181451E-07,0,0,0,0,0,0,package://rapidhand2/meshes/IDIP.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rapidhand2/meshes/IDIP.STL,,食指远节-1,IDIP,ID,ID,revolute,0,0,0.0465,0,0,0,IPIP,1,0,0,1,1,-3.14,3.14,,,,,,,,
MMCPF,-1.23449232967976E-07,-1.55233664825283E-07,1.03178869920173E-07,0,0,0,0.00105509319213642,3.1885160379144E-08,-3.32607682058185E-15,-5.117363926248E-14,6.81180906084367E-08,1.03660834092638E-13,9.4414358554791E-08,0,0,0,0,0,0,package://rapidhand2/meshes/MMCPF.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rapidhand2/meshes/MMCPF.STL,,十字轴-2,MMCPF,MF,MF,revolute,0.018,-0.004,0.13,0,0,0,BASE,-1,0,0,1,1,-3.14,3.14,,,,,,,,
