Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00656720169302084,0.014479377474207,0.00017721012836088,0,0,0,0.241418881118491,8.29179012284045E-05,-5.57843135835109E-06,1.75115263652209E-07,0.000145285415943206,-4.25231448389357E-07,0.00010114061356772,0,0,0,0,0,0,package://URDF_v4_Right/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_v4_Right/meshes/base_link.STL,,Palm-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
CMC,0.0193678734622304,-0.00898899318604927,0.0104809276453103,0,0,0,0.0264128081450763,1.83714301413544E-06,6.56655420051632E-07,1.66576044172142E-08,4.07199364840859E-06,4.8706980224364E-08,4.45745212992967E-06,0,0,0,0,0,0,package://URDF_v4_Right/meshes/CMC.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_v4_Right/meshes/CMC.STL,,CMC-1,Origin_Joint12,Joint_1_Axis <Palm-1>,Joint1,continuous,0.0049117,0,0.0085073,1.5708,0,0,base_link,0.86603,-0.5,0,0,0,0,0,,,,,,,,
Link1_Thumb,-0.0203422741080077,0.00733798468042576,-1.64553600606743E-09,0,0,0,0.00560650073800743,1.09064967247218E-07,4.3022683138531E-09,3.41177789429198E-14,1.74465945719792E-06,-1.73448350699336E-14,1.74158758948159E-06,0,0,0,0,0,0,package://URDF_v4_Right/meshes/Link1_Thumb.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_v4_Right/meshes/Link1_Thumb.STL,,link1_thumb-1,Origin_Joint62,Joint_6_Axis <CMC-1>,Joint6,continuous,0.013607,0,0.015,0,0.24469,3.1416,CMC,0,1,0,0,0,0,0,,,,,,,,
Fingertip_Thumb,-0.0204333253029588,-0.0100056019932063,0.00247725859759255,0,0,0,0.0125196567770339,9.72175142926983E-07,2.98477594308915E-09,1.50029529851244E-07,2.35371742836929E-06,-6.70708985640319E-10,2.47085555385713E-06,0,0,0,0,0,0,package://URDF_v4_Right/meshes/Fingertip_Thumb.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_v4_Right/meshes/Fingertip_Thumb.STL,,Fingertip-1,Origin_Joint72,Joint_7_Axis <link1_thumb-1>,Joint7,continuous,-0.05,-0.0019185,0,3.1416,0.093216,0,Link1_Thumb,0,1,0,0,0,0,0,,,,,,,,
Abd_Add_index,-0.0213545806625778,0.000261543766344633,-0.00689109537300997,0,0,0,0.0230626142210204,2.50642854632867E-06,-1.06469591252552E-07,-5.27617781350041E-08,3.29575299089444E-06,-1.26757974546424E-07,2.13775454170167E-06,0,0,0,0,0,0,package://URDF_v4_Right/meshes/Abd_Add_index.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_v4_Right/meshes/Abd_Add_index.STL,,Abd_Add-1,Origin_Joint22,Joint_2_Axis <Palm-1>,Joint2,continuous,-0.04,0,0.0225,1.5707963267949,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
Link1_index,-0.0202724368908947,-0.000712304404879467,-3.85780431145729E-09,0,0,0,0.00571177198623797,1.1632364015844E-07,8.54445293233152E-09,-5.11234296385733E-13,1.7363456461322E-06,-1.08480465815374E-13,1.73868615513806E-06,0,0,0,0,0,0,package://URDF_v4_Right/meshes/Link1_index.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_v4_Right/meshes/Link1_index.STL,,link1_pointer_pinkie-1,Origin_Joint52,Flex_Axis <Abd_Add-1>,Joint5,continuous,-0.026,0,0,0,0,0,Abd_Add_index,0,1,0,0,0,0,0,,,,,,,,
Fingertip_Index,-0.0204333577805241,-5.60249874107313E-06,0.00247727103269342,0,0,0,0.012519683467004,9.72179562505661E-07,2.98477501679517E-09,1.50030056444559E-07,2.35372263228688E-06,-6.70250954897714E-10,2.47085678313063E-06,0,0,0,0,0,0,package://URDF_v4_Right/meshes/Fingertip_Index.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_v4_Right/meshes/Fingertip_Index.STL,,Fingertip-2,Origin_Joint82,Flex_2_Axis <link1_pointer_pinkie-1>,Joint8,continuous,-0.05,0,0,3.1416,0.093216,0,Link1_index,0,1,0,0,0,0,0,,,,,,,,
Abd_Add_Pinkie,-0.0213545806625778,0.000261543766344626,-0.00689109537300998,0,0,0,0.0230626142210204,2.50642854632867E-06,-1.06469591252552E-07,-5.27617781350039E-08,3.29575299089444E-06,-1.26757974546424E-07,2.13775454170168E-06,0,0,0,0,0,0,package://URDF_v4_Right/meshes/Abd_Add_Pinkie.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_v4_Right/meshes/Abd_Add_Pinkie.STL,,Abd_Add-2,Origin_Joint32,Joint_3_Axis <Palm-1>,Joint3,continuous,-0.04,0,-0.0225,1.5707963267949,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
Link1_Pinkie,-0.0202724368908947,-0.000712304404879488,-3.85780430984588E-09,0,0,0,0.00571177198623797,1.16323640158451E-07,8.54445293233181E-09,-5.1123429617025E-13,1.73634564613222E-06,-1.08480465880813E-13,1.73868615513806E-06,0,0,0,0,0,0,package://URDF_v4_Right/meshes/Link1_Pinkie.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_v4_Right/meshes/Link1_Pinkie.STL,,link1_pointer_pinkie-2,Origin_Joint42,Flex_Axis <Abd_Add-2>,Joint4,continuous,-0.026,0,0,0,0,0,Abd_Add_Pinkie,0,1,0,0,0,0,0,,,,,,,,
Fingertip_Pinkie,-0.0204333574959239,-5.60226405327269E-06,0.00247727091625364,0,0,0,0.0125196831565173,9.72179507020448E-07,2.98476810615469E-09,1.50030062910066E-07,2.35372260755179E-06,-6.70278964100714E-10,2.47085675635161E-06,0,0,0,0,0,0,package://URDF_v4_Right/meshes/Fingertip_Pinkie.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_v4_Right/meshes/Fingertip_Pinkie.STL,,Fingertip-4,Origin_Joint92,Flex_2_Axis <link1_pointer_pinkie-2>,Joint9,continuous,-0.05,0,0,3.1416,0.093216,0,Link1_Pinkie,0,1,0,0,0,0,0,,,,,,,,
